location_PK,Division,Longitude,Latitude
3653,D11,-79.47540421,43.63962303
3654,D53,-79.39410173,43.68808307
3655,D42,-79.31927061,43.79585129
3656,D23,-79.57820583,43.70754727
3657,D41,-79.27907578,43.68662226
3658,D31,-79.49767583,43.76702359
3659,D13,-79.41332798,43.67680708
3660,D43,-79.13707211,43.7827623
3661,D53,-79.3615347,43.70245939
3662,D55,-79.28311503,43.67863626
3663,D41,-79.26457122,43.73064588
3664,D23,-79.59558337,43.71726994
3665,D41,-79.30975281,43.74214362
3666,D12,-79.49926538,43.67075951
3667,D22,-79.5742935,43.66463042
3668,D23,-79.53618319,43.69116799
3669,D54,-79.32056808,43.70686258
3670,D23,-79.60667875,43.73372347
3671,D41,-79.27932997,43.76616404
3672,D42,-79.29469368,43.78070554
3673,D33,-79.35406618,43.73492233
3674,D32,-79.47558142,43.77957378
3675,D23,-79.59166379,43.73677452
3676,D43,-79.2553127,43.76604633
3677,D55,-79.28848011,43.68648132
3678,D41,-79.291779,43.711913
3679,D12,-79.5156388,43.70240801
3680,D55,-79.31160345,43.66911004
3681,D42,-79.30974617,43.81133582
3682,D11,-79.43913557,43.65909813
3683,D14,-79.41853537,43.66394772
3684,D42,-79.33476753,43.81553327
3685,D51,-79.36852769,43.65887073
3686,D13,-79.42873722,43.67238578
3687,D13,-79.42766224,43.68129997
3688,D42,-79.23311248,43.80040629
3689,D32,-79.45006432,43.71873316
3690,D11,-79.44745102,43.66170967
3691,D43,-79.24681046,43.760078
3692,D32,-79.3908537,43.72993121
3693,D53,-79.39952273,43.71228955
3694,D14,-79.40397597,43.65583003
3695,D31,-79.50150117,43.74371113
3696,D22,-79.53875107,43.61298352
3697,D12,-79.50816066,43.69623901
3698,D42,-79.1691092,43.807121
3699,D13,-79.45093558,43.69718493
3700,D32,-79.39355699,43.74807518
3701,D22,-79.52699763,43.59957887
3702,D33,-79.35409979,43.79960851
3703,D11,-79.4844447,43.64933139
3704,D53,-79.39446503,43.66960587
3705,D41,-79.27009152,43.73745307
3706,D41,-79.2666245,43.7558986
3707,D33,-79.34831888,43.79157996
3708,D42,-79.24006927,43.78886777
3709,D42,-79.20946936,43.79767718
3710,D53,-79.41091735,43.70408378
3711,D42,-79.28054244,43.81086042
3712,D42,-79.2171891,43.81215185
3713,D43,-79.1906151,43.75870654
3714,D32,-79.44490656,43.7519521
3715,D54,-79.35362768,43.67880298
3716,D11,-79.48815029,43.66474764
3717,D12,-79.45997415,43.67657309
3718,D14,-79.43042858,43.65554806
3719,D12,-79.48826106,43.68323588
3720,D33,-79.32610783,43.76593251
3721,D32,-79.43268794,43.77595572
3722,D14,-79.41481904,43.66434022
3723,D23,-79.58263467,43.70396093
3724,D55,-79.32720741,43.67453551
3725,D14,-79.41828872,43.65524586
3726,D33,-79.36381243,43.72560542
3727,D42,-79.29003911,43.78725022
3728,D14,-79.42097315,43.63947205
3729,D43,-79.18621037,43.75036839
3730,D22,-79.58272088,43.63326753
3731,D41,-79.29274905,43.74054783
3732,D33,-79.30641491,43.72999981
3733,D22,-79.50847337,43.64607739
3734,D23,-79.60307206,43.75194965
3735,D42,-79.3004792,43.77320641
3736,D33,-79.34731597,43.78245051
3737,D53,-79.37080234,43.67675342
3738,D32,-79.43790891,43.79056761
3739,D14,-79.41426424,43.6429729
3740,D33,-79.36771407,43.74671685
3741,D22,-79.54688694,43.6310232
3742,D12,-79.48083141,43.67148908
3743,D42,-79.29378739,43.81811773
3744,D53,-79.39541022,43.70155477
3745,D12,-79.52715391,43.70533617
3746,D23,-79.53269971,43.69616387
3747,D54,-79.2967315,43.68930442
3748,D43,-79.19453886,43.76487287
3749,D14,-79.42663898,43.64122736
3750,D53,-79.37225857,43.70735959
3751,D41,-79.24993328,43.73170395
3752,D12,-79.47407551,43.69121412
3753,D22,-79.57051545,43.64378448
3754,D13,-79.4602184,43.68343738
3755,D43,-79.21731987,43.7306378
3756,D31,-79.52115893,43.7449724
3757,D33,-79.38180546,43.73603449
3758,D55,-79.34156719,43.66484383
3759,D32,-79.43964829,43.73795845
3760,D53,-79.40297196,43.67952021
3761,D55,-79.34366967,43.66993701
3762,D13,-79.46246699,43.69039759
3763,D31,-79.55999171,43.75625404
3764,D12,-79.50600121,43.70251997
3765,D22,-79.53967265,43.60294212
3766,D52,-79.39203753,43.65580953
3767,D55,-79.35298994,43.6688017
3768,D52,-79.39309998,43.64444244
3769,D54,-79.35522437,43.6905184
3770,D41,-79.27465363,43.71346974
3771,D14,-79.42439359,43.66225003
3772,D33,-79.34699939,43.77510692
3773,D42,-79.28986719,43.79310066
3774,D53,-79.38769648,43.68397138
3775,D51,-79.37600691,43.64815434
3776,D14,-79.42490374,43.65671556
3777,D22,-79.52812303,43.66446626
3778,D33,-79.35920629,43.80809201
3779,D42,-79.33308972,43.79817569
3780,D43,-79.23049404,43.72824586
3781,D54,-79.29602309,43.6894511
3782,D12,-79.50360266,43.70228047
3783,D33,-79.36727868,43.8060345
3784,D22,-79.54173995,43.65657684
3785,D53,-79.38431848,43.6901394
3786,D11,-79.43510556,43.64864552
3787,D51,-79.36794156,43.66428583
3788,D53,-79.39882995,43.72204467
3789,D12,-79.47788298,43.68865053
3790,D42,-79.19954102,43.82524901
3791,D42,-79.29578683,43.82442343
3792,D42,-79.20478945,43.79744551
3793,D53,-79.39339693,43.69030575
3794,D42,-79.32351751,43.78948509
3795,D23,-79.56794919,43.71922498
3796,D53,-79.40551007,43.68377703
3797,D13,-79.42309649,43.68133495
3798,D14,-79.42281418,43.64123734
3799,D32,-79.4205961,43.77864832
3800,D42,-79.21314998,43.81459011
3801,D32,-79.41774472,43.75747594
3802,D41,-79.27892261,43.68159874
3803,D52,-79.38994752,43.64370303
3804,D13,-79.45307458,43.68786062
3805,D51,-79.3749313,43.65514877
3806,D51,-79.37785611,43.66521591
3807,D11,-79.43267206,43.64730228
3808,D33,-79.3552087,43.79972891
3809,D32,-79.40654531,43.76685147
3810,D22,-79.49678318,43.62906047
3811,D22,-79.52226161,43.64492672
3812,D53,-79.39762544,43.70329403
3813,D13,-79.44822266,43.69859803
3814,D32,-79.44668073,43.7358307
3815,D53,-79.35886864,43.70157246
3816,D52,-79.38601979,43.65524051
3817,D32,-79.40741003,43.74730294
3818,D43,-79.22700827,43.76791302
3819,D41,-79.28102598,43.76967789
3820,D54,-79.31796557,43.68543801
3821,D22,-79.57432354,43.64291836
3822,D51,-79.37493677,43.67129081
3823,D22,-79.52636196,43.65136349
3824,D55,-79.3212511,43.66529095
3825,D22,-79.5821395,43.66133178
3826,D51,-79.35682972,43.66437541
3827,D55,-79.2967623,43.68467052
3828,D55,-79.32555059,43.66505905
3829,D43,-79.17192579,43.7891231
3830,D42,-79.28605444,43.80269314
3831,D42,-79.28289845,43.82134484
3832,D33,-79.38580371,43.77400325
3833,D31,-79.49961757,43.75974862
3834,D55,-79.33023131,43.67637632
3835,D32,-79.44489153,43.78408261
3836,D53,-79.38473216,43.70507752
3837,D41,-79.2762576,43.73976963
3838,D41,-79.25798299,43.7110254
3839,D12,-79.47319977,43.67200685
3840,D55,-79.31540791,43.68155162
3841,D43,-79.23470772,43.71618742
3842,D43,-79.23263088,43.71751477
3843,D12,-79.4718694,43.71030326
3844,D31,-79.52300643,43.71770465
3845,D32,-79.43506049,43.718044
3846,D23,-79.60342029,43.71915789
3847,D31,-79.49208059,43.74288801
3848,D22,-79.53580472,43.62356044
3849,D13,-79.44420571,43.69279046
3850,D23,-79.58727282,43.69078816
3851,D53,-79.39889958,43.68046017
3852,D13,-79.4420163,43.69315252
3853,D12,-79.46650417,43.68205731
3854,D23,-79.58849474,43.73869605
3855,D12,-79.50026728,43.70838437
3856,D42,-79.32135401,43.78972477
3857,D32,-79.45859957,43.73092317
3858,D41,-79.28203115,43.68287364
3859,D22,-79.5860098,43.65789049
3860,D53,-79.38883215,43.67530065
3861,D54,-79.31089756,43.68611329
3862,D22,-79.54188025,43.6024301
